"REKAP PENJUALAN BULAN 2025-11",,
,,
PRODUK,JUMLAH,HARGA
" Choco Taro (Large)",3,51000
"Avocado ( Large)",41,573000
"Avocado (Medium)",41,485000
"Avocado thaiTea (Large)",2,30000
"Avocado thaiTea (Medium)",2,26000
"Ayam bakar ",25,500000
"Ayam fire utuh  (Ayam fire utuh)",6,420000
"Ayam penyet ( )",9,180000
"Ayam penyet (Nasi)",96,2400000
"Bakso bakar ",67,1005000
"Banana roll",23,345000
Basreng,13,195000
"Beng beng",10,40000
"Black coffe (Medium)",9,90000
"Black green tea (Large)",5,55000
"Black thai tea (Large)",15,165000
"Black thai tea (Medium)",9,90000
"Boba (Boba)",371,1298000
"Brown Sugar Milk ( Large)",151,2377000
"Brown Sugar Milk (Medium)",71,1001000
"Burger (Beef)",1,18000
"Burger (Chiken)",66,990000
"Cappucino ( Large)",45,611000
"Cappucino (Medium)",40,488000
"Cappucino Mix Tea",1,15000
"Chesee cream",4,15000
"Chesee matcha bumbum (Large)",3,63000
"Chesee matcha bumbum (Medium)",4,72000
"Choco Avocado (Large)",9,153000
"Choco Avocado (Medium)",3,45000
"Choco Cappucino (Large)",6,102000
"Choco Cappucino (Medium)",3,45000
"Choco Coklat (Large)",45,765000
"Choco Coklat (Medium)",15,225000
"Choco Milo",2,34000
"Choco Redvelvet (Large)",4,68000
"Choco vanila (Large)",4,68000
"Choco vanila (Medium)",8,120000
Cireng,22,330000
"Cokelat Mix Tea",1,15000
"Coklat  ( Large)",102,1398000
"Coklat  (Medium)",74,872000
"Coklat beng beng (Large)",62,1054000
"Coklat beng beng (Medium)",21,315000
Dimsum,4,60000
"Es teh bum bum (Large)",11,143000
"Es teh bum bum (Medium)",4,40000
"Es teh green tea (Large)",4,52000
"Es teh green tea (Medium)",1,10000
"Eskrim (Coklat mix vanila)",2,10000
"Eskrim (Coklat)",29,145000
"Eskrim (Vanila)",20,100000
"Green tea ( Large)",202,2780000
"Green tea (Hot)",3,37000
"Green tea (Medium)",87,1063000
"Ice cream sundae large (Beng beng)",3,45000
"Ice cream sundae large (Boba)",7,105000
"Ice cream sundae large (Oreo)",35,525000
"Ice cream sundae small (Oreo)",3,39000
"Kentang goreng",57,855000
"Kopi butterscouth",11,187000
"Kopi gula aren",87,1305000
"Kopi karamel",4,68000
"Kopi klasik",2,30000
"Kopi latte (Medium)",11,165000
"Kopi pandan",2,34000
"Le mineral",53,265000
"Lecy tea (Large)",7,91000
"Lecy tea (Medium)",2,22000
"Lemon tea (Large)",15,215000
"Lemon tea (Medium)",5,63000
"Matcha bumbum (Hot)",1,15000
"Matcha bumbum (Large)",27,540000
"Matcha bumbum (Medium)",27,459000
"Matcha latte (Hot)",1,15000
"Matcha latte (Large)",23,483000
"Matcha latte (Medium)",12,216000
"Matcha stroberry (Large)",5,105000
"Matcha stroberry (Medium)",1,18000
"Milo  ( Large)",76,1054000
"Milo  (Medium)",46,544000
"Milo thai Tea (Large)",7,113000
"Milo thai Tea (Medium)",6,84000
Nasi,28,140000
"Oreo ",22,110000
"Oreo  (Large)",21,297000
"Oreo  (Medium)",14,172000
"Pisang nuget",23,345000
"Redvelvet ( Large)",38,518000
"Redvelvet (Medium)",13,151000
"Rice Bowl slice",33,825000
Sempol,9,135000
"Snack tray ",2,56000
"Sosis bakar",15,225000
"Spicy dumpling tray  (Thaitea milk )",1,45000
"Taro ( Large)",69,927000
"Taro (Hot)",1,13000
"Taro (Medium)",47,563000
"Taro Mix Tea",1,15000
"Thai tea ( Large)",199,2735000
"Thai tea (Hot)",1,12000
"Thai tea (Medium)",67,781000
"Tiramisu ( Large)",14,198000
"Tiramisu (Hot)",1,13000
"Tiramisu (Medium)",17,207000
"Vanila ( Large)",34,468000
"Vanila (Hot)",1,13000
"Vanila (Medium)",19,227000
"Vanila Mix Tea (Large)",5,75000
"Vanila Mix Tea (Medium)",1,13000
,,
HARGA,,40586000
Diskon,,-29996
"HARGA JUAL",,40556004
,,
PEMBAYARAN,,
Cash,,26013000
Qrish,,14543004
,,
BAYAR,,40556004
HUTANG,,0
